empathy,distress,emotion
5.6670000000000025,4.375,sadness
4.833,4.875,sadness
5.332999999999998,3.5,neutral
4.167,5.25,fear
5.332999999999998,4.625,sadness
2.333,3.125,anger
2.167,2.875,anger
3.833,4.25,disgust
3.167,3.375,anger
2.5,3.125,disgust
5.332999999999998,4.0,sadness
4.833,3.125,sadness
5.0,4.25,sadness
3.333,3.5,neutral
5.0,4.25,sadness
2.0,5.375,surprise
1.0,4.125,anger
5.5,3.75,disgust
5.6670000000000025,4.5,disgust
6.5,6.25,surprise
3.167,3.375,joy
2.833,4.125,anger
2.667,2.375,sadness
3.167,3.125,disgust
4.333,3.75,sadness
3.833,3.875,disgust
3.667,4.25,sadness
2.667,3.625,disgust
3.167,3.5,sadness
3.667,4.0,sadness
6.3329999999999975,7.0,joy
5.8329999999999975,7.0,fear
7.0,7.0,surprise
2.5,3.0,fear
1.0,1.0,neutral
4.0,5.5,sadness
1.0,5.5,fear
5.0,7.0,sadness
4.0,5.0,sadness
6.0,4.625,sadness
3.833,3.75,surprise
4.667,5.375,sadness
5.6670000000000025,3.75,sadness
2.5,3.0,joy
4.0,3.875,sadness
1.0,4.5,anger
2.0,3.875,anger
2.333,3.375,disgust
1.0,1.0,neutral
1.0,1.375,anger
1.167,1.0,sadness
1.0,1.25,anger
1.0,1.0,neutral
1.0,1.0,neutral
1.0,1.125,disgust
6.1670000000000025,5.125,sadness
5.0,5.625,surprise
4.833,5.625,anger
4.5,5.625,anger
4.333,4.875,sadness
1.6669999999999998,1.875,disgust
1.0,2.25,sadness
1.6669999999999998,1.25,anger
1.0,1.0,anger
1.3330000000000002,1.625,anger
6.0,5.5,anger
5.332999999999998,5.875,sadness
6.3329999999999975,5.25,sadness
4.667,5.75,sadness
4.333,4.875,sadness
1.167,1.25,sadness
1.167,1.125,sadness
1.167,2.5,sadness
1.167,1.125,sadness
3.167,1.375,sadness
4.833,1.25,neutral
4.0,2.0,joy
2.5,1.25,neutral
4.0,1.125,sadness
3.0,3.5,anger
1.167,2.125,sadness
1.6669999999999998,3.875,anger
1.0,3.125,sadness
1.8330000000000002,2.75,sadness
1.6669999999999998,4.25,fear
5.5,3.125,disgust
5.6670000000000025,5.125,disgust
6.0,7.0,disgust
4.333,4.625,disgust
6.0,6.0,fear
5.6670000000000025,2.625,sadness
5.6670000000000025,4.375,disgust
3.0,5.5,fear
4.0,4.25,sadness
2.167,5.5,anger
5.6670000000000025,4.75,sadness
4.833,4.875,sadness
2.667,2.625,anger
5.0,3.875,sadness
4.833,5.375,sadness
4.167,3.25,sadness
1.0,5.375,anger
1.0,1.0,surprise
3.5,3.125,sadness
2.167,3.125,fear
1.0,1.0,anger
1.0,1.0,surprise
1.0,1.0,joy
1.0,1.0,anger
1.0,1.0,anger
6.1670000000000025,6.25,fear
6.1670000000000025,6.0,sadness
6.6670000000000025,4.0,sadness
7.0,4.0,sadness
1.0,1.0,neutral
3.0,6.25,surprise
1.0,7.0,surprise
1.0,7.0,anger
7.0,1.75,sadness
7.0,7.0,disgust
5.0,3.625,sadness
