,words,weights,weights-arctan
0,be,-0.0016795431642593216,-0.0016795415850070171
1,really,0.045283018867924525,0.04525210516785686
2,dishearten,0.0,0.0
3,to,0.023004600920184037,0.02300054410721344
4,read,0.005714285714285714,0.0057142235191971315
5,about,-0.048736462093862815,-0.04869793001691696
6,these,0.10160427807486631,0.10125679302997051
7,immigrant,-0.23809523809523808,-0.23374318086890142
8,from,0.13924050632911392,0.13835097017712528
9,this,0.006301502666020358,0.006301419259352502
10,article,-0.030110935023771792,-0.030101839759918522
11,who,0.005545286506469501,0.00554522966795729
12,drown,0.75,0.6435011087932844
13,make,0.0054446460980036296,0.005444592298286973
14,feel,0.06181818181818182,0.06173961607730315
15,anxious,1.0,0.7853981633974483
16,and,0.05036331746429466,0.050320800574798964
17,upset,-0.20930232558139536,-0.2063238940297175
18,how,0.04452054794520548,0.04449116845958568
19,the,0.02301952690903318,0.023015462196112467
20,whole,-0.19402985074626866,-0.1916484966866772
21,ordeal,-0.2,-0.19739555984988078
22,happen,-0.010471204188481676,-0.010470821504696828
23,a,-0.016756244072083464,-0.01675467610975473
24,terrible,0.3684210526315789,0.35299038782691045
25,occurrence,0.2,0.19739555984988078
26,that,-0.017408123791102514,-0.017406365642060558
27,have,0.0158586316266425,0.015857302365370952
28,at,0.029787234042553193,0.02977842886416136
29,mediterranean,1.0,0.7853981633974483
30,sea,0.6363636363636364,0.5667292175235064
31,thankfully,0.0,0.0
32,there,-0.07045735475896168,-0.07034111175217722
33,some,-0.026378896882494004,-0.026372780884042473
34,survivor,0.09090909090909091,0.09065988720074511
35,fact,0.05747126436781609,0.05740811463679964
36,baby,0.023255813953488372,0.023251622810462915
37,lose,0.275,0.2683662109059069
38,much,-0.09505703422053231,-0.09477226977550932
39,more,0.09090909090909091,0.09065988720074511
40,emotional,0.5555555555555556,0.507098504392337
41,all,-0.02377179080824089,-0.023767314528414744
42,of,0.028798411122144985,0.02879045377522414
43,phone,0.0,0.0
44,line,0.0,0.0
45,suicide,0.22580645161290322,0.22208190190548016
46,prevention,1.0,0.7853981633974483
47,surge,1.0,0.7853981633974483
48,after,0.15606936416184972,0.1548204061825135
49,election,-0.3469387755102041,-0.333945071844894
50,also,0.1625615763546798,0.16115189613868436
51,climb,0.42857142857142855,0.4048917862850834
52,when,0.0,0.0
53,robin,1.0,0.7853981633974483
54,williams,1.0,0.7853981633974483
55,commit,0.10526315789473684,0.10487693873023389
56,help,0.23703703703703705,0.232741511754825
57,those,0.22522522522522523,0.22152880461674798
58,in,0.06307053941908713,0.0629871091701565
59,need,0.12531969309462915,0.12466975689078878
60,suicidal,1.0,0.7853981633974483
61,thought,0.0,0.0
62,but,-0.09051724137931035,-0.0902712358406013
63,condition,0.1320754716981132,0.13131543898308803
64,people,-0.018129079042784626,-0.018127093312120313
65,permanent,0.2,0.19739555984988078
66,solution,0.1,0.09966865249116204
67,temporary,0.6,0.5404195002705842
68,problem,-0.0380952380952381,-0.0380768255898034
69,no,-0.022443890274314215,-0.022440122872667306
70,matter,0.08196721311475409,0.08178438061799599
71,what,-0.02177068214804064,-0.02176724362944502
72,heritage,0.6666666666666666,0.5880026035475675
73,should,-0.05761316872427984,-0.05754955068319047
74,able,0.17391304347826086,0.17219081452293902
75,serve,0.30434782608695654,0.29544083714372
76,country,-0.02535211267605634,-0.025346683251802334
77,thai,0.0,0.0
78,not,-0.11698789780367548,-0.11645853268939359
79,preclude,1.0,0.7853981633974483
80,an,0.009140767824497258,0.009140513255795414
81,issue,-0.11515151515151516,-0.11464656171265254
82,debate,-0.2,-0.19739555984988078
83,tammy,1.0,0.7853981633974483
84,duckworth,1.0,0.7853981633974483
85,family,0.325,0.3142318990843383
86,congratulate,1.0,0.7853981633974483
87,on,0.0468187274909964,0.04678456363380366
88,service,0.1111111111111111,0.11065722117389563
89,provide,0.18518518518518517,0.18311081726248413
90,any,-0.15789473684210525,-0.15660187698201536
91,type,-0.09433962264150944,-0.09406123462798634
92,racism,-0.07692307692307693,-0.07677189126977804
93,allow,0.13725490196078433,0.13640260440094745
94,frightening,-0.2,-0.19739555984988078
95,learn,0.11764705882352941,0.11710874456686428
96,shark,0.07692307692307693,0.07677189126977804
97,attack,-0.1743119266055046,-0.172577961232207
98,surfer,-0.3333333333333333,-0.3217505543966422
99,aware,0.2727272727272727,0.2662520491509253
100,risk,0.12195121951219512,0.12135200057076367
101,associate,-0.1111111111111111,-0.11065722117389563
102,with,0.027160493827160494,0.02715381808484693
103,sport,-0.5862068965517241,-0.5302157727766299
104,relocate,0.6,0.5404195002705842
105,priority,0.3333333333333333,0.3217505543966422
106,would,-0.1183533447684391,-0.1178053311792426
107,good,0.0,0.0
108,interest,0.13043478260869565,0.1297025371559121
109,establish,0.6,0.5404195002705842
110,moratorium,1.0,0.7853981633974483
111,water,0.23728813559322035,0.23297923907710288
112,until,-0.3333333333333333,-0.3217505543966422
113,epidemic,-0.14285714285714285,-0.1418970546041639
114,deal,-0.04,-0.039978687123290044
115,close,0.4666666666666667,0.43662715981354133
116,beach,0.3333333333333333,0.3217505543966422
117,australia,0.23076923076923078,0.2267988480538859
118,precautionary,0.0,0.0
119,method,-0.6,-0.5404195002705842
120,eld,1.0,0.7853981633974483
121,generation,-0.13043478260869565,-0.1297025371559121
122,russians,-0.75,-0.6435011087932844
123,treat,0.18032786885245902,0.17841049935104036
124,properly,-0.14285714285714285,-0.1418970546041639
125,sort,-0.043478260869565216,-0.04345089539153084
126,financial,0.14285714285714285,0.1418970546041639
127,compensation,1.0,0.7853981633974483
128,live,0.1417004048582996,0.1407632682419083
129,off,-0.08433734939759036,-0.08413824053117093
130,very,0.1505016722408027,0.1493805444630238
131,little,-0.027522935779816515,-0.027515989285454418
132,per,0.0,0.0
133,day,-0.06896551724137931,-0.0688564893010446
134,financially,0.3333333333333333,0.3217505543966422
135,poor,0.26605504587155965,0.2600312895821321
136,pay,-0.046153846153846156,-0.04612111601451121
137,utility,1.0,0.7853981633974483
138,barely,0.0,0.0
139,enough,0.30097087378640774,0.29234726619263707
140,for,0.03153468815697267,0.03152424130726156
141,food,0.2289156626506024,0.22503828649260513
142,health,0.19480519480519481,0.19239560151592244
143,care,-0.1242603550295858,-0.12362666255610047
144,take,-0.05789473684210526,-0.05783018274559292
145,turn,0.05454545454545454,0.05449145624073119
146,bad,0.0033003300330033004,0.003300318050487191
147,because,0.015184381778741865,0.01518321494221765
148,can,0.05098855359001041,0.050944435155346975
149,afford,0.45454545454545453,0.4266274931268761
150,get,-0.02857142857142857,-0.028563657838759995
151,proper,0.4666666666666667,0.43662715981354133
152,treatment,0.05263157894736842,0.052583061610941714
153,due,0.16417910447761194,0.162727374640381
154,cost,-0.5714285714285714,-0.5191461142465229
155,involve,0.013333333333333334,0.013332543294145679
156,middle,-0.043478260869565216,-0.04345089539153084
157,east,-0.20930232558139536,-0.2063238940297175
158,fuck,-0.6521739130434783,-0.5779019369622457
159,up,-0.10891089108910891,-0.10848331155497139
160,honestly,-0.1111111111111111,-0.11065722117389563
161,never,-0.011235955056179775,-0.011235482257962729
162,hear,-0.030612244897959183,-0.030602687928718824
163,such,0.24528301886792453,0.2405342479459046
164,as,0.04395604395604396,0.043927767076889834
165,afghanistan,0.3333333333333333,0.3217505543966422
166,deport,0.42857142857142855,0.4048917862850834
167,mention,-0.25,-0.24497866312686414
168,just,-0.002105263157894737,-0.002105260047634261
169,sound,-0.11864406779661017,-0.11809202841909398
170,funny,-0.4444444444444444,-0.41822432957922906
171,heck,0.0,0.0
172,want,-0.07874015748031496,-0.07857803018480604
173,stay,-0.24,-0.23554498072086333
174,shit,-0.7647058823529411,-0.6528466311007742
175,hole,-0.5,-0.4636476090008061
176,infest,-1.0,-0.7853981633974483
177,terrorist,-0.45098039215686275,-0.4236689218775161
178,child,0.2177121771217712,0.21436705610325532
179,rapist,-1.0,-0.7853981633974483
180,perhaps,0.0,0.0
181,refugee,0.16,0.1586552621864014
182,out,-0.1053763440860215,-0.10498888320530642
183,choice,-0.07142857142857142,-0.07130746478529032
184,come,-0.023255813953488372,-0.023251622810462915
185,well,-0.034482758620689655,-0.034469100999508014
186,s,0.3472222222222222,0.33419804426550326
187,or,0.08253358925143954,0.08234695087993775
188,k,-0.5,-0.4636476090008061
189,even,0.009404388714733543,0.009404111480143744
190,though,-0.11578947368421053,-0.11527612597095205
191,own,-0.08450704225352113,-0.08430673252620663
192,policy,0.36363636363636365,0.348771003583907
193,regard,0.09090909090909091,0.09065988720074511
194,immigration,-0.7647058823529411,-0.6528466311007742
195,think,-0.03155006858710562,-0.03153960645028102
196,quite,-0.1891891891891892,-0.18697926991891112
197,tolerate,0.0,0.0
198,war,0.29523809523809524,0.28708236918714247
199,tear,0.35714285714285715,0.3430239404207034
200,first,0.18518518518518517,0.18311081726248413
201,whoever,-0.6666666666666666,-0.5880026035475675
202,write,0.05263157894736842,0.052583061610941714
203,do,-0.1017425519955031,-0.10139365217130673
204,know,0.009523809523809525,0.009523521593612855
