words,weights,weights-arctan
be,-0.0016795431642593216,-0.0016795415850070171
really,0.045283018867924525,0.04525210516785686
dishearten,0.0,0.0
to,0.02300460092018404,0.02300054410721344
read,0.005714285714285714,0.005714223519197132
about,-0.04873646209386282,-0.04869793001691696
these,0.10160427807486633,0.10125679302997052
immigrant,-0.2380952380952381,-0.23374318086890145
from,0.13924050632911392,0.13835097017712528
this,0.006301502666020357,0.006301419259352502
article,-0.030110935023771795,-0.03010183975991852
who,0.005545286506469501,0.00554522966795729
drown,0.75,0.6435011087932844
make,0.0054446460980036296,0.005444592298286973
feel,0.06181818181818183,0.06173961607730315
anxious,1.0,0.7853981633974483
and,0.05036331746429466,0.050320800574798964
upset,-0.20930232558139536,-0.2063238940297175
how,0.04452054794520549,0.04449116845958568
the,0.02301952690903318,0.02301546219611247
whole,-0.19402985074626866,-0.1916484966866772
ordeal,-0.2,-0.1973955598498808
happen,-0.010471204188481676,-0.010470821504696828
a,-0.016756244072083464,-0.016754676109754733
terrible,0.3684210526315789,0.35299038782691045
occurrence,0.2,0.1973955598498808
that,-0.01740812379110251,-0.01740636564206056
have,0.0158586316266425,0.015857302365370952
at,0.029787234042553193,0.029778428864161363
mediterranean,1.0,0.7853981633974483
sea,0.6363636363636364,0.5667292175235064
thankfully,0.0,0.0
there,-0.07045735475896167,-0.07034111175217722
some,-0.026378896882494004,-0.02637278088404248
survivor,0.09090909090909093,0.09065988720074512
fact,0.05747126436781608,0.05740811463679964
baby,0.02325581395348837,0.023251622810462915
lose,0.275,0.2683662109059069
much,-0.09505703422053233,-0.09477226977550933
more,0.09090909090909093,0.09065988720074512
emotional,0.5555555555555556,0.5070985043923371
all,-0.023771790808240892,-0.023767314528414744
of,0.02879841112214498,0.02879045377522414
phone,0.0,0.0
line,0.0,0.0
suicide,0.2258064516129032,0.22208190190548016
prevention,1.0,0.7853981633974483
surge,1.0,0.7853981633974483
after,0.15606936416184972,0.1548204061825135
election,-0.3469387755102041,-0.33394507184489397
also,0.1625615763546798,0.16115189613868436
climb,0.42857142857142855,0.4048917862850834
when,0.0,0.0
robin,1.0,0.7853981633974483
williams,1.0,0.7853981633974483
commit,0.10526315789473684,0.10487693873023388
help,0.23703703703703705,0.232741511754825
those,0.2252252252252253,0.221528804616748
in,0.06307053941908712,0.0629871091701565
need,0.12531969309462915,0.12466975689078875
suicidal,1.0,0.7853981633974483
thought,0.0,0.0
but,-0.09051724137931036,-0.0902712358406013
condition,0.1320754716981132,0.13131543898308806
people,-0.018129079042784626,-0.01812709331212032
permanent,0.2,0.1973955598498808
solution,0.1,0.09966865249116204
temporary,0.6,0.5404195002705842
problem,-0.0380952380952381,-0.0380768255898034
no,-0.022443890274314208,-0.022440122872667303
matter,0.08196721311475409,0.08178438061799599
what,-0.021770682148040642,-0.02176724362944502
heritage,0.6666666666666666,0.5880026035475675
should,-0.05761316872427984,-0.057549550683190474
able,0.17391304347826084,0.17219081452293902
serve,0.3043478260869565,0.29544083714372
country,-0.02535211267605634,-0.02534668325180233
thai,0.0,0.0
not,-0.11698789780367548,-0.1164585326893936
preclude,1.0,0.7853981633974483
an,0.009140767824497258,0.009140513255795414
issue,-0.11515151515151514,-0.11464656171265256
debate,-0.2,-0.1973955598498808
tammy,1.0,0.7853981633974483
duckworth,1.0,0.7853981633974483
family,0.325,0.3142318990843383
congratulate,1.0,0.7853981633974483
on,0.0468187274909964,0.046784563633803664
service,0.1111111111111111,0.11065722117389563
provide,0.1851851851851852,0.18311081726248413
any,-0.15789473684210525,-0.15660187698201536
type,-0.09433962264150944,-0.09406123462798634
racism,-0.07692307692307693,-0.07677189126977804
allow,0.13725490196078433,0.13640260440094745
frightening,-0.2,-0.1973955598498808
learn,0.1176470588235294,0.11710874456686428
shark,0.07692307692307693,0.07677189126977804
attack,-0.1743119266055046,-0.172577961232207
surfer,-0.3333333333333333,-0.3217505543966422
aware,0.2727272727272727,0.2662520491509253
risk,0.12195121951219512,0.12135200057076367
associate,-0.1111111111111111,-0.11065722117389563
with,0.02716049382716049,0.02715381808484693
sport,-0.5862068965517241,-0.5302157727766299
relocate,0.6,0.5404195002705842
priority,0.3333333333333333,0.3217505543966422
would,-0.1183533447684391,-0.1178053311792426
good,0.0,0.0
interest,0.13043478260869565,0.1297025371559121
establish,0.6,0.5404195002705842
moratorium,1.0,0.7853981633974483
water,0.23728813559322035,0.2329792390771029
until,-0.3333333333333333,-0.3217505543966422
epidemic,-0.14285714285714285,-0.1418970546041639
deal,-0.04,-0.03997868712329005
close,0.4666666666666667,0.4366271598135413
beach,0.3333333333333333,0.3217505543966422
australia,0.2307692307692308,0.2267988480538859
precautionary,0.0,0.0
method,-0.6,-0.5404195002705842
eld,1.0,0.7853981633974483
generation,-0.13043478260869565,-0.1297025371559121
russians,-0.75,-0.6435011087932844
treat,0.18032786885245905,0.17841049935104036
properly,-0.14285714285714285,-0.1418970546041639
sort,-0.043478260869565216,-0.04345089539153084
financial,0.14285714285714285,0.1418970546041639
compensation,1.0,0.7853981633974483
live,0.1417004048582996,0.1407632682419083
off,-0.08433734939759037,-0.08413824053117093
very,0.1505016722408027,0.1493805444630238
little,-0.027522935779816515,-0.027515989285454408
per,0.0,0.0
day,-0.06896551724137931,-0.0688564893010446
financially,0.3333333333333333,0.3217505543966422
poor,0.26605504587155965,0.2600312895821321
pay,-0.04615384615384616,-0.046121116014511215
utility,1.0,0.7853981633974483
barely,0.0,0.0
enough,0.3009708737864077,0.2923472661926371
for,0.03153468815697267,0.031524241307261565
food,0.2289156626506024,0.2250382864926052
health,0.1948051948051948,0.19239560151592244
care,-0.1242603550295858,-0.12362666255610047
take,-0.05789473684210526,-0.05783018274559292
turn,0.054545454545454536,0.054491456240731186
bad,0.0033003300330033004,0.003300318050487191
because,0.015184381778741863,0.01518321494221765
can,0.05098855359001042,0.050944435155346975
afford,0.4545454545454545,0.4266274931268761
get,-0.028571428571428567,-0.028563657838759995
proper,0.4666666666666667,0.4366271598135413
treatment,0.05263157894736842,0.052583061610941714
due,0.16417910447761194,0.16272737464038098
cost,-0.5714285714285714,-0.5191461142465229
involve,0.013333333333333334,0.01333254329414568
middle,-0.043478260869565216,-0.04345089539153084
east,-0.20930232558139536,-0.2063238940297175
fuck,-0.6521739130434783,-0.5779019369622457
up,-0.10891089108910892,-0.1084833115549714
honestly,-0.1111111111111111,-0.11065722117389563
never,-0.011235955056179777,-0.011235482257962727
hear,-0.030612244897959183,-0.030602687928718824
such,0.2452830188679245,0.2405342479459046
as,0.04395604395604396,0.043927767076889834
afghanistan,0.3333333333333333,0.3217505543966422
deport,0.42857142857142855,0.4048917862850834
mention,-0.25,-0.2449786631268641
just,-0.0021052631578947372,-0.002105260047634261
sound,-0.11864406779661014,-0.11809202841909396
funny,-0.4444444444444444,-0.41822432957922906
heck,0.0,0.0
want,-0.07874015748031496,-0.07857803018480604
stay,-0.24,-0.2355449807208633
shit,-0.7647058823529411,-0.6528466311007742
hole,-0.5,-0.4636476090008061
infest,-1.0,-0.7853981633974483
terrorist,-0.4509803921568628,-0.4236689218775161
child,0.2177121771217712,0.21436705610325527
rapist,-1.0,-0.7853981633974483
perhaps,0.0,0.0
refugee,0.16,0.1586552621864014
out,-0.1053763440860215,-0.10498888320530644
choice,-0.07142857142857142,-0.07130746478529032
come,-0.02325581395348837,-0.023251622810462915
well,-0.03448275862068965,-0.034469100999508014
s,0.3472222222222222,0.3341980442655033
or,0.08253358925143954,0.08234695087993775
k,-0.5,-0.4636476090008061
even,0.009404388714733545,0.009404111480143744
though,-0.11578947368421053,-0.11527612597095205
own,-0.08450704225352113,-0.08430673252620663
policy,0.3636363636363637,0.3487710035839069
regard,0.09090909090909093,0.09065988720074512
immigration,-0.7647058823529411,-0.6528466311007742
think,-0.03155006858710562,-0.03153960645028102
quite,-0.1891891891891892,-0.18697926991891112
tolerate,0.0,0.0
war,0.29523809523809524,0.2870823691871425
tear,0.35714285714285715,0.3430239404207034
first,0.1851851851851852,0.18311081726248413
whoever,-0.6666666666666666,-0.5880026035475675
write,0.05263157894736842,0.052583061610941714
do,-0.1017425519955031,-0.10139365217130672
know,0.009523809523809523,0.009523521593612857
divide,-0.5384615384615384,-0.4939413689195812
into,0.09,0.08975817418995052
paragraph,-1.0,-0.7853981633974483
which,0.008,0.007999829339886634
extremely,-0.2972972972972973,-0.28897540999256643
painful,0.42857142857142855,0.4048917862850834
nonetheless,-1.0,-0.7853981633974483
zira,-0.36,-0.3455555805817121
virus,-0.14285714285714285,-0.1418970546041639
tend,-0.14285714285714285,-0.1418970546041639
semen,-1.0,-0.7853981633974483
vaginal,0.0,0.0
fluid,-1.0,-0.7853981633974483
extended,-1.0,-0.7853981633974483
amount,-0.030303030303030307,-0.0302937599187751
time,-0.09090909090909093,-0.09065988720074512
so,0.09935205183585312,0.09902707858432223
obvious,0.0,0.0
mate,0.75,0.6435011087932844
go,-0.017964071856287425,-0.01796213984785729
defective,-1.0,-0.7853981633974483
look,0.0,0.0
arrogant,0.0,0.0
kim,-1.0,-0.7853981633974483
karmathian,-1.0,-0.7853981633974483
finally,0.0,0.0
deserve,-0.0967741935483871,-0.0964737751825869
rob,-0.14285714285714285,-0.1418970546041639
million,-0.05,-0.04995839572194277
bitter,0.2,0.1973955598498808
consider,-0.14893617021276595,-0.14784936525875556
robbery,-0.2,-0.1973955598498808
other,-0.07602339181286549,-0.07587743712548711
way,0.03289473684210526,0.032882879805511994
rich,-0.13043478260869565,-0.1297025371559121
superfluous,-1.0,-0.7853981633974483
gal,-1.0,-0.7853981633974483
broadcast,0.3333333333333333,0.3217505543966422
belonging,0.2,0.1973955598498808
social,-0.4482758620689655,-0.4214192068878042
medium,-0.375,-0.35877067027057225
guess,-0.3863636363636364,-0.3686959026580498
bring,0.07246376811594203,0.07233733053859498
upon,-0.14285714285714285,-0.1418970546041639
another,-0.16666666666666666,-0.16514867741462685
mental,-0.25,-0.2449786631268641
sickness,0.6,0.5404195002705842
american,0.21739130434782608,0.2140606835638215
police,0.028571428571428567,0.028563657838759995
against,-0.12359550561797752,-0.12297186956429715
black,-0.2363636363636364,-0.2321038380751557
resident,-0.1111111111111111,-0.11065722117389563
idea,0.029411764705882363,0.029403288204005118
why,-0.13744075829383887,-0.13658501957586686
sensitive,-1.0,-0.7853981633974483
fucking,-1.0,-0.7853981633974483
gun,-0.03614457831325301,-0.036128850512775534
shoot,-0.2525252525252525,-0.24735395557182355
if,-0.030060120240480964,-0.030051070929485613
respan,-1.0,-0.7853981633974483
