2F4U	too fast for you
411	information
4YEO FYEO	for your eyes only
AAMOF	as a matter of fact
ACE	a cool experience
AD	awesome dude
AEAP	as early as possible
AF	as fuck
AFAIC	as far as I'm concerned
AFAICS	as far as I can see
AFAICT	as far as I can tell
AFAIK	as far as I know
AFAIU	as far as I understand
AFAIUI	as far as I understand it
AFAP	as far as possible
AFAYC	as dar as you are concerned
AFAIK	as far as I know
AFIAA	as far as I am aware
AFAIR	as far as I remember
AFK	away from keyboard
AIDA	attention, interest, desire, action
AKA	also known as
ALAP	as late as possible
AMA	ask me anything
ANI	age not important
ASL	age, sex, location
ASAP	as soon as possible
B2B	business-to-business
B2C	business-to-consumer
B3	blah, blah, blah
B4	before
B4YKI	before you know it
BAE	before anyone else
BFF	best friends forever
BM&Y	between me and you
BRB	be right back
BRT	be right there
BTAIM	be that as it may
BTS	behind the scenes
BTT	back to topic
BTW	by the way
C&P	copy and paste
CAN-SPAM	controlling the assault of non-solicited pornography and marketing act
'CAUSE	because
CC	carbon copy
CMGR	community manager
CMS	content management system
'COS	because
'COZ	because
COS	because
COZ	because
CPC	cost per click
CPM	cost per thousand
CR	conversion rate
CRM	customer relationship management
CTA	call to action
CTN	cannot talk now
CTR	clickthrough rate
CU	see you
CUL	see you later
CUS	see you soon
CWOT	complete waste of time
CWYL	chat with you later
CX	customer experience
CYS	check your settings
CYT	see you tomorrow
DAE	does anyone else
DFTBA	don’t forget to be awesome
DGMW	don't get me wrong
DM	direct message
DYK	did you know
ELI5	explain like i’m 5 years old
EM?	excuse me?
EOBD	end of business day
EOD	end of discussion
EOM	end of message
EOT	end of thread text
ESP	email service provider
Ebook	electronic book
F2F	face to face
FACK	full acknowledge
FAQ	frequently asked questions
FB	facebook
FBF	flashback friday
FBO	facebook official
FC	fingers crossed
FF	follow friday
FFS	for fuck‘s sake
FKA	formerly known as
FML	fuck my life
FOAF	friend of a friend
FOMO	fear of missing out
FTFY	fixed that for you
FTW	for the win!
FUTAB	feet up, take a break
FWIW	for what it’s worth
FYI	for your information
FaTH	first and truest husband
G+	google+
G2G	got to to
GA	google analytics
GG	good game
GIF	graphics interchange format
GTG	got to go
GTR	got to run
Gr8	great
HAK	hugs and kisses
HBD	happy birthday
HF	have fun
HIFW	how I feel when
HMB	hit me back
HMU	hit me up
HT	hat tip
HTH	happy to help
IANAD	I am not a doctor
IANAL	I am not a lawyer
ICYMI	in case you missed it
IDC	I don’t care
IDGAF	I don't give a fuck
IDK	I don’t know
IG	instagram
IIRC	if I remember correctly
IKR	I know, right
ILY	I love you
IMHO	in my humble opinion
IMNSHO	in my not so humble opinion
IMO	in my opinion
IMU	I miss you
IO	insertion order
IOW	in other words
IRL	in real life
ISO	in search of
ISP	internet service provider
ITT	in this thread
JC	just checking
JK	just kidding
JTLYK	just to let you know
JTM	just the messenger
KFY	kiss for you
KMN	kill me now
KPC	keeping parents clueless
KPI	key performance indicator
L8	late
LI	linkedin
LMAO	laughing my ass off
LMK	let me know
LMS	like my status
LOL	laughing out loud
LOLz	laughing out loud
MCM	man crush monday
MDD	major depressive disorder
MIRL	me in real life
MM	music monday
MMW	mark my words
MT	modified tweet
MTFBWY	may the force be with you
NM	not much
NOYB	none of your business
NP	no problem
NRN	no reply necessary
NSFL	not safe for life
NSFW	not safe for work
NVM	never mind
OAN	on another note
OMG	oh my god
OMW	on my way
OOTD	outfit of the day
OP	original poster
ORLY	oh really?!
OTOH	on the other hand
OTP	one true pairing
P2P	person to person
PM	private message
POTD	photo of the day
POV	point of view
PPC	pay per click
PPL	people
PR	public relations
PV	page views
QOTD	quote of the day
QFT	quoted for truth
RN	right now
ROFL	rolling on the floor laughing
ROFLMAO	rolling on the floor laughing my ass off
ROI	return on investment
RSS	really simple syndication
RT	retweet
RTD	real-time data
SEM	search engine marketing
SEO	search engine optimization
SERP	search engine results page
SFW	safe for work
SM	social media
SMB	small business
SMH	shaking my head
SMM	social media marketing
SMO	social media optimization
SMP	social media platform
SOV	share of voice
SaaS	software as a service
SoLoMo	social, local, mobile
TBA	to be announced
TBC	to be continued
TBH	to be honest
TBT	throwback thursday
TGIF	thank goodness it’s friday
TIA	in advance
TIL	today I learned
TL;DR	too long; didn’t read
TMI	too much information
TOS	terms of service
TTYL	talk to you later
TTYN	talk to you never
TTYS	talk to you soon
TY	thank you
UGC	user generated content
UI	user interface
URL	uniform resource locator
UV	unique visitor
UX	user experience
WBU	what about you?
WCW	woman crush wednesday
WDYMBT	what do you mean by that?
WOM	word of mouth
WOTD	word of the day
WTF	what the fuck
WYA	where you at?
XOXOXOX	hugs and kisses
YMMV	your mileage may vary
YOLO	you only live once
YSK	you should know
YT	youtube
YW	you’re welcome
acronym	full_form
b/c	because
bc	because
w/	with
